codeD,indice_chomage
1,6.1
10,10.2
11,10.8
12,6.1
13,9.4
14,7.2
15,4.3
16,7.8
17,8.1
18,8
19,6.6
2,11.5
21,6
22,7
23,7.4
24,8
25,7.4
26,8.9
27,8.1
28,7.2
29,6.8
2A,6.7
2B,7.7
3,8.5
30,11
31,8.1
32,6.1
33,7.4
34,11.2
35,5.8
36,7.7
37,7
38,6.6
39,5.5
4,9.2
40,7.8
41,6.5
42,7.9
43,6.2
44,6.6
45,7.5
46,8
47,8
48,5.1
49,7.2
5,7.3
50,5.7
51,7.6
52,6.9
53,5.3
54,7.8
55,8
56,6.7
57,8
58,6.7
59,10.1
6,8.8
60,8.2
61,7.5
62,9.4
63,7
64,6.5
65,9.2
66,12.5
67,6.9
68,8.1
69,7.2
7,9
70,7
71,6.8
72,8
73,5.9
74,6.4
75,6.4
76,8.9
77,7.4
78,6.8
79,5.8
8,9.8
80,9.6
81,8.3
82,9.3
83,8.5
84,10.5
85,6
86,6.5
87,7.2
88,8.5
89,7.4
9,10
90,9.2
91,7.1
92,6.6
93,11
94,7.8
95,9
